Stage,Formula,Energy,Bandgap,Type,SpaceGroup,Delta_E,Delta_Gap,File
AFTER,GaAs,-3.7822,0.415,Semiconductor,P4_32_12,-0.0203,-0.329,GaAs_id2315_Final_E-3.78.cif
,,,,,,,,
BEFORE,Li2Mg3(SeS)2,-2.8917,1.348,Semiconductor,Pcca,,,Li2Mg3(SeS)2_id3006_E-2.89.cif
AFTER,Li2Mg3(SeS)2,-3.7786,0.033,Metal,Pcca,-0.8869,-1.315,Li2Mg3(SeS)2_id3006_Final_E-3.78.cif
,,,,,,,,
BEFORE,CdGa3(Se2S)4,-2.7467,1.499,Semiconductor,P-42c,,,CdGa3(Se2S)4_id2020_E-2.75.cif
AFTER,CdGa3(Se2S)4,-3.7693,0.887,Semiconductor,P1,-1.0226,-0.612,CdGa3(Se2S)4_id2020_Final_E-3.77.cif
,,,,,,,,
BEFORE,Al6Ga3Sn4Ge,-3.5615,1.926,Semiconductor,P6_322,,,Al6Ga3Sn4Ge_id71_E-3.56.cif
AFTER,Al6Ga3Sn4Ge,-3.7622,0.0,Metal,P1,-0.2007,-1.926,Al6Ga3Sn4Ge_id71_Final_E-3.76.cif
,,,,,,,,
BEFORE,K2O2,-3.7598,1.356,Semiconductor,I4_1/amd,,,K2O2_id2723_E-3.76.cif
AFTER,K2O2,-3.7602,0.43,Semiconductor,I4_1/amd,-0.0004,-0.926,K2O2_id2723_Final_E-3.76.cif
,,,,,,,,
BEFORE,Ti3Be11ZnB6,-2.8835,2.995,Semiconductor,Pm,,,Ti3Be11ZnB6_id451_E-2.88.cif
AFTER,Ti3Be11ZnB6,-3.7553,2.262,Semiconductor,Pm,-0.8718,-0.733,Ti3Be11ZnB6_id451_Final_E-3.76.cif
,,,,,,,,
BEFORE,Ba4Sr3(GeS)4,-3.5562,2.323,Semiconductor,I-43m,,,Ba4Sr3(GeS)4_id845_E-3.56.cif
AFTER,Ba4Sr3(GeS)4,-3.7506,0.029,Metal,P2,-0.1944,-2.294,Ba4Sr3(GeS)4_id845_Final_E-3.75.cif
,,,,,,,,
BEFORE,Li4Sb4As2S,-3.4162,0.286,Semiconductor,P6_2,,,Li4Sb4As2S_id2163_E-3.42.cif
AFTER,Li4Sb4As2S,-3.7432,0.0,Metal,P6_2,-0.3270,-0.286,Li4Sb4As2S_id2163_Final_E-3.74.cif
,,,,,,,,
BEFORE,Na2O,-3.6288,0.072,Semiconductor,Pbca,,,Na2O_id794_E-3.63.cif
AFTER,Na2O,-3.7399,1.601,Semiconductor,Pbca,-0.1111,1.529,Na2O_id794_Final_E-3.74.cif
,,,,,,,,
BEFORE,ScS36,-2.7405,1.001,Semiconductor,Pc,,,ScS36_id2798_E-2.74.cif
AFTER,ScS36,-3.7316,0.96,Semiconductor,P1,-0.9911,-0.041,ScS36_id2798_Final_E-3.73.cif
,,,,,,,,
BEFORE,TeS,-3.7122,0.935,Semiconductor,P4/m,,,TeS_id869_E-3.71.cif
AFTER,TeS,-3.7252,0.69,Semiconductor,P4/m,-0.0130,-0.245,TeS_id869_Final_E-3.73.cif
,,,,,,,,
BEFORE,Sc2Al7(Ga3Te)2,-1.9308,0.727,Semiconductor,P4_2/m,,,Sc2Al7(Ga3Te)2_id925_E-1.93.cif
AFTER,Sc2Al7(Ga3Te)2,-3.724,0.0,Metal,P1,-1.7932,-0.727,Sc2Al7(Ga3Te)2_id925_Final_E-3.72.cif
,,,,,,,,
BEFORE,K7S9,-2.0499,2.032,Semiconductor,P1,,,K7S9_id2208_E-2.05.cif
AFTER,K7S9,-3.7223,1.132,Semiconductor,P1,-1.6724,-0.900,K7S9_id2208_Final_E-3.72.cif
,,,,,,,,
BEFORE,LiSO11,-3.1,1.133,Semiconductor,P1,,,LiSO11_id1792_E-3.10.cif
AFTER,LiSO11,-3.6994,0.431,Semiconductor,P1,-0.5994,-0.702,LiSO11_id1792_Final_E-3.70.cif
,,,,,,,,
BEFORE,Li8AlGaGe32,-3.1562,0.052,Semiconductor,P4/mcc,,,Li8AlGaGe32_id846_E-3.16.cif
AFTER,Li8AlGaGe32,-3.6982,2.386,Semiconductor,P4/mcc,-0.5420,2.334,Li8AlGaGe32_id846_Final_E-3.70.cif
,,,,,,,,
BEFORE,InSnTe2,-3.6974,0.058,Semiconductor,I4/mmm,,,InSnTe2_id565_E-3.70.cif
AFTER,InSnTe2,-3.6974,0.058,Semiconductor,I4/mmm,0.0000,0.000,InSnTe2_id565_Final_E-3.70.cif
,,,,,,,,
BEFORE,NaMg2InSe4,-3.3983,1.768,Semiconductor,I-42d,,,NaMg2InSe4_id1258_E-3.40.cif
AFTER,NaMg2InSe4,-3.6925,1.841,Semiconductor,I-42d,-0.2942,0.073,NaMg2InSe4_id1258_Final_E-3.69.cif
,,,,,,,,
BEFORE,K2Zn5O4,-3.2574,0.318,Semiconductor,I4/m,,,K2Zn5O4_id3334_E-3.26.cif
AFTER,K2Zn5O4,-3.6865,0.132,Semiconductor,I4/m,-0.4291,-0.186,K2Zn5O4_id3334_Final_E-3.69.cif
,,,,,,,,
BEFORE,K2Ga2SnSe3,-3.0934,1.059,Semiconductor,Pbam,,,K2Ga2SnSe3_id2456_E-3.09.cif
AFTER,K2Ga2SnSe3,-3.6845,1.702,Semiconductor,Pmc2_1,-0.5911,0.643,K2Ga2SnSe3_id2456_Final_E-3.68.cif
,,,,,,,,
BEFORE,CaO6,-3.6294,0.097,Semiconductor,P1,,,CaO6_id1740_E-3.63.cif
AFTER,CaO6,-3.6821,0.415,Semiconductor,P1,-0.0527,0.318,CaO6_id1740_Final_E-3.68.cif
,,,,,,,,
BEFORE,Li3GaGeTe4,-3.6719,0.087,Semiconductor,P-43m,,,Li3GaGeTe4_id3083_E-3.67.cif
AFTER,Li3GaGeTe4,-3.6741,0.992,Semiconductor,P-43m,-0.0022,0.905,Li3GaGeTe4_id3083_Final_E-3.67.cif
,,,,,,,,
BEFORE,LiAlSbS6,-3.4198,2.979,Semiconductor,Cmme,,,LiAlSbS6_id1042_E-3.42.cif
AFTER,LiAlSbS6,-3.6728,2.041,Semiconductor,Cmme,-0.2530,-0.938,LiAlSbS6_id1042_Final_E-3.67.cif
,,,,,,,,
BEFORE,MgSe,-3.5263,1.108,Semiconductor,P4/m,,,MgSe_id2056_E-3.53.cif
AFTER,MgSe,-3.6704,1.892,Semiconductor,P4/m,-0.1441,0.784,MgSe_id2056_Final_E-3.67.cif
,,,,,,,,
BEFORE,Li5AsO2,-3.4549,2.776,Semiconductor,C222,,,Li5AsO2_id1533_E-3.45.cif
AFTER,Li5AsO2,-3.6677,2.865,Semiconductor,P1,-0.2128,0.089,Li5AsO2_id1533_Final_E-3.67.cif
,,,,,,,,
BEFORE,Mg3(Se2S3)2,-2.6033,2.171,Semiconductor,P1,,,Mg3(Se2S3)2_id2431_E-2.60.cif
AFTER,Mg3(Se2S3)2,-3.6568,1.792,Semiconductor,P1,-1.0535,-0.379,Mg3(Se2S3)2_id2431_Final_E-3.66.cif
,,,,,,,,
BEFORE,K3Na5CaSe6,-2.6189,0.133,Semiconductor,R32,,,K3Na5CaSe6_id2554_E-2.62.cif
AFTER,K3Na5CaSe6,-3.654,1.938,Semiconductor,P1,-1.0351,1.805,K3Na5CaSe6_id2554_Final_E-3.65.cif
,,,,,,,,
BEFORE,Li6Ti3Ga2,-3.3019,0.478,Semiconductor,P-31c,,,Li6Ti3Ga2_id766_E-3.30.cif
AFTER,Li6Ti3Ga2,-3.6517,1.329,Semiconductor,P-1,-0.3498,0.851,Li6Ti3Ga2_id766_Final_E-3.65.cif
,,,,,,,,
BEFORE,KBaSe,-2.7592,2.037,Semiconductor,Immm,,,KBaSe_id3381_E-2.76.cif
AFTER,KBaSe,-3.6325,2.036,Semiconductor,C2/m,-0.8733,-0.001,KBaSe_id3381_Final_E-3.63.cif
,,,,,,,,
BEFORE,Te5S4,-2.0301,2.364,Semiconductor,P-3m1,,,Te5S4_id1506_E-2.03.cif
AFTER,Te5S4,-3.6316,0.0,Metal,P-3m1,-1.6015,-2.364,Te5S4_id1506_Final_E-3.63.cif
,,,,,,,,
BEFORE,ZnTeS2,-3.4888,1.167,Semiconductor,P2_1,,,ZnTeS2_id2018_E-3.49.cif
AFTER,ZnTeS2,-3.6271,0.532,Semiconductor,P2_1,-0.1383,-0.635,ZnTeS2_id2018_Final_E-3.63.cif
,,,,,,,,
BEFORE,KBO32,-2.8208,3.15,Semiconductor,Pm,,,KBO32_id299_E-2.82.cif
AFTER,KBO32,-3.6265,2.207,Semiconductor,P1,-0.8057,-0.943,KBO32_id299_Final_E-3.63.cif
,,,,,,,,
BEFORE,SrS20,-0.9125,1.142,Semiconductor,Pm,,,SrS20_id180_E-0.91.cif
AFTER,SrS20,-3.6208,1.883,Semiconductor,Pm,-2.7083,0.741,SrS20_id180_Final_E-3.62.cif
,,,,,,,,
BEFORE,Ba2LiS2O3,-3.3134,0.508,Semiconductor,P6_222,,,Ba2LiS2O3_id3099_E-3.31.cif
AFTER,Ba2LiS2O3,-3.6165,0.525,Semiconductor,P6_222,-0.3031,0.017,Ba2LiS2O3_id3099_Final_E-3.62.cif
,,,,,,,,
BEFORE,Li2GeO2,-3.2606,0.264,Semiconductor,Pm,,,Li2GeO2_id482_E-3.26.cif
AFTER,Li2GeO2,-3.615,4.277,Insulator,Pm,-0.3544,4.013,Li2GeO2_id482_Final_E-3.61.cif
,,,,,,,,
BEFORE,Li7Zn2O9,-2.8948,2.841,Semiconductor,Pm,,,Li7Zn2O9_id15_E-2.89.cif
AFTER,Li7Zn2O9,-3.605,3.069,Semiconductor,P1,-0.7102,0.228,Li7Zn2O9_id15_Final_E-3.60.cif
,,,,,,,,
BEFORE,CdS2N,-3.4465,1.938,Semiconductor,Pca2_1,,,CdS2N_id1854_E-3.45.cif
AFTER,CdS2N,-3.6046,1.321,Semiconductor,Pca2_1,-0.1581,-0.617,CdS2N_id1854_Final_E-3.60.cif
,,,,,,,,
BEFORE,MgAl6Si,-3.4933,0.169,Semiconductor,I4mm,,,MgAl6Si_id969_E-3.49.cif
AFTER,MgAl6Si,-3.6025,0.0,Metal,Imm2,-0.1092,-0.169,MgAl6Si_id969_Final_E-3.60.cif
,,,,,,,,
BEFORE,KZn(GaAs3)2,-3.5573,0.169,Semiconductor,P321,,,KZn(GaAs3)2_id744_E-3.56.cif
AFTER,KZn(GaAs3)2,-3.5968,0.0,Metal,P321,-0.0395,-0.169,KZn(GaAs3)2_id744_Final_E-3.60.cif
,,,,,,,,
BEFORE,Na3MgN2,-3.5843,0.515,Semiconductor,Pn-3m,,,Na3MgN2_id1621_E-3.58.cif
AFTER,Na3MgN2,-3.5843,0.515,Semiconductor,Pn-3m,0.0000,0.000,Na3MgN2_id1621_Final_E-3.58.cif
,,,,,,,,
BEFORE,Mg3Te2(SeS6)2,-3.4008,1.567,Semiconductor,P-42_1m,,,Mg3Te2(SeS6)2_id498_E-3.40.cif
AFTER,Mg3Te2(SeS6)2,-3.5842,1.748,Semiconductor,P1,-0.1834,0.181,Mg3Te2(SeS6)2_id498_Final_E-3.58.cif
,,,,,,,,
BEFORE,Be3AlGe,-2.7089,0.207,Semiconductor,I-43m,,,Be3AlGe_id3187_E-2.71.cif
AFTER,Be3AlGe,-3.5818,0.0,Metal,P1,-0.8729,-0.207,Be3AlGe_id3187_Final_E-3.58.cif
,,,,,,,,
BEFORE,Li6Al(TeSe)4,-1.9949,2.256,Semiconductor,P-43m,,,Li6Al(TeSe)4_id2287_E-1.99.cif
AFTER,Li6Al(TeSe)4,-3.5694,1.272,Semiconductor,R3m,-1.5745,-0.984,Li6Al(TeSe)4_id2287_Final_E-3.57.cif
,,,,,,,,
BEFORE,KSO,-2.9394,0.479,Semiconductor,P-3m1,,,KSO_id1294_E-2.94.cif
AFTER,KSO,-3.5645,0.762,Semiconductor,P-3m1,-0.6251,0.283,KSO_id1294_Final_E-3.56.cif
,,,,,,,,
BEFORE,Te3Se,-3.5069,0.386,Semiconductor,P3_212,,,Te3Se_id485_E-3.51.cif
AFTER,Te3Se,-3.5531,0.023,Metal,P3_212,-0.0462,-0.363,Te3Se_id485_Final_E-3.55.cif
,,,,,,,,
BEFORE,LiTeSe,-3.4087,0.888,Semiconductor,P4_32_12,,,LiTeSe_id2297_E-3.41.cif
AFTER,LiTeSe,-3.5491,1.174,Semiconductor,P4_32_12,-0.1404,0.286,LiTeSe_id2297_Final_E-3.55.cif
,,,,,,,,
BEFORE,K2GaP2O,-3.2152,0.448,Semiconductor,Pcc2,,,K2GaP2O_id1668_E-3.22.cif
AFTER,K2GaP2O,-3.5488,0.0,Metal,P1,-0.3336,-0.448,K2GaP2O_id1668_Final_E-3.55.cif
,,,,,,,,
BEFORE,Zn2Ga2Si2Ge7,-3.5167,0.851,Semiconductor,P2,,,Zn2Ga2Si2Ge7_id142_E-3.52.cif
AFTER,Zn2Ga2Si2Ge7,-3.5476,0.791,Semiconductor,P1,-0.0309,-0.060,Zn2Ga2Si2Ge7_id142_Final_E-3.55.cif
,,,,,,,,
BEFORE,Ba(AlS)2,-3.5429,2.553,Semiconductor,Pn-3m,,,Ba(AlS)2_id1912_E-3.54.cif
AFTER,Ba(AlS)2,-3.5429,2.553,Semiconductor,Pn-3m,0.0000,0.000,Ba(AlS)2_id1912_Final_E-3.54.cif
,,,,,,,,
BEFORE,Li10O3,-2.5584,3.452,Semiconductor,P1,,,Li10O3_id62_E-2.56.cif
AFTER,Li10O3,-3.5095,0.0,Metal,P1,-0.9511,-3.452,Li10O3_id62_Final_E-3.51.cif
,,,,,,,,
BEFORE,Li5ScGa4O9,-3.2649,1.977,Semiconductor,Pm,,,Li5ScGa4O9_id805_E-3.26.cif
AFTER,Li5ScGa4O9,-3.499,7.066,Insulator,Pm,-0.2341,5.089,Li5ScGa4O9_id805_Final_E-3.50.cif
,,,,,,,,
BEFORE,GeSe3O2,-3.3824,0.786,Semiconductor,Pbam,,,GeSe3O2_id686_E-3.38.cif
AFTER,GeSe3O2,-3.4953,1.043,Semiconductor,Pm,-0.1129,0.257,GeSe3O2_id686_Final_E-3.50.cif
,,,,,,,,
BEFORE,TiPO8,-3.1288,0.314,Semiconductor,P2,,,TiPO8_id3377_E-3.13.cif
AFTER,TiPO8,-3.4848,1.172,Semiconductor,P1,-0.3560,0.858,TiPO8_id3377_Final_E-3.48.cif
,,,,,,,,
BEFORE,K3BaLi3Se4,-3.4751,1.932,Semiconductor,Pm-3n,,,K3BaLi3Se4_id1153_E-3.48.cif
AFTER,K3BaLi3Se4,-3.4751,1.932,Semiconductor,Pm-3n,0.0000,0.000,K3BaLi3Se4_id1153_Final_E-3.48.cif
,,,,,,,,
BEFORE,MgS,-3.4616,1.545,Semiconductor,Pm,,,MgS_id2898_E-3.46.cif
AFTER,MgS,-3.4672,1.583,Semiconductor,Pm,-0.0056,0.038,MgS_id2898_Final_E-3.47.cif
,,,,,,,,
BEFORE,ZnInTe2Se3,-3.2566,0.19,Semiconductor,Pm,,,ZnInTe2Se3_id300_E-3.26.cif
AFTER,ZnInTe2Se3,-3.4656,0.633,Semiconductor,Pm,-0.2090,0.443,ZnInTe2Se3_id300_Final_E-3.47.cif
,,,,,,,,
BEFORE,Ca(InSn18)2,-2.7789,0.533,Semiconductor,P2,,,Ca(InSn18)2_id1383_E-2.78.cif
AFTER,Ca(InSn18)2,-3.4606,0.0,Metal,P1,-0.6817,-0.533,Ca(InSn18)2_id1383_Final_E-3.46.cif
,,,,,,,,
BEFORE,Al14In,-3.1461,0.44,Semiconductor,C2/c,,,Al14In_id1805_E-3.15.cif
AFTER,Al14In,-3.4513,0.0,Metal,P-1,-0.3052,-0.440,Al14In_id1805_Final_E-3.45.cif
,,,,,,,,
BEFORE,TeSe,-3.3362,0.974,Semiconductor,Pbca,,,TeSe_id2784_E-3.34.cif
AFTER,TeSe,-3.4498,0.0,Metal,Pbca,-0.1136,-0.974,TeSe_id2784_Final_E-3.45.cif
,,,,,,,,
BEFORE,LiTe,-3.1002,0.324,Semiconductor,Pbca,,,LiTe_id522_E-3.10.cif
AFTER,LiTe,-3.4398,0.295,Semiconductor,Pbca,-0.3396,-0.029,LiTe_id522_Final_E-3.44.cif
,,,,,,,,
BEFORE,NaTeSe,-3.3768,0.82,Semiconductor,Aea2,,,NaTeSe_id2087_E-3.38.cif
AFTER,NaTeSe,-3.4376,0.603,Semiconductor,Aea2,-0.0608,-0.217,NaTeSe_id2087_Final_E-3.44.cif
,,,,,,,,
BEFORE,Li3Te2,-3.2551,1.138,Semiconductor,P-42_1m,,,Li3Te2_id2900_E-3.26.cif
AFTER,Li3Te2,-3.4364,1.065,Semiconductor,P-42_1m,-0.1813,-0.073,Li3Te2_id2900_Final_E-3.44.cif
,,,,,,,,
BEFORE,MgP,-2.7433,0.15,Semiconductor,P4_232,,,MgP_id3175_E-2.74.cif
AFTER,MgP,-3.4349,0.469,Semiconductor,P222,-0.6916,0.319,MgP_id3175_Final_E-3.43.cif
,,,,,,,,
BEFORE,K2SbTe4,-2.8376,0.854,Semiconductor,Pccm,,,K2SbTe4_id752_E-2.84.cif
AFTER,K2SbTe4,-3.4289,0.292,Semiconductor,P1,-0.5913,-0.562,K2SbTe4_id752_Final_E-3.43.cif
,,,,,,,,
BEFORE,SrTiC2,-3.4242,0.818,Semiconductor,I4_1/amd,,,SrTiC2_id2125_E-3.42.cif
AFTER,SrTiC2,-3.4242,0.818,Semiconductor,I4_1/amd,0.0000,0.000,SrTiC2_id2125_Final_E-3.42.cif
,,,,,,,,
BEFORE,SbTe3AsSe2,-1.0405,0.362,Semiconductor,Aem2,,,SbTe3AsSe2_id3301_E-1.04.cif
AFTER,SbTe3AsSe2,-3.4169,0.0,Metal,P1,-2.3764,-0.362,SbTe3AsSe2_id3301_Final_E-3.42.cif
,,,,,,,,
BEFORE,InO20,-2.9719,0.643,Semiconductor,P1,,,InO20_id2609_E-2.97.cif
AFTER,InO20,-3.4158,1.328,Semiconductor,P1,-0.4439,0.685,InO20_id2609_Final_E-3.42.cif
,,,,,,,,
BEFORE,KInTe4,-3.3069,0.121,Semiconductor,I-42d,,,KInTe4_id3117_E-3.31.cif
AFTER,KInTe4,-3.3993,0.429,Semiconductor,I-42d,-0.0924,0.308,KInTe4_id3117_Final_E-3.40.cif
,,,,,,,,
BEFORE,MgTe,-2.7896,1.103,Semiconductor,Aea2,,,MgTe_id1623_E-2.79.cif
AFTER,MgTe,-3.3891,1.756,Semiconductor,Aea2,-0.5995,0.653,MgTe_id1623_Final_E-3.39.cif
,,,,,,,,
BEFORE,Ca4Al(TeSe2)3,-3.3859,0.311,Semiconductor,Im-3m,,,Ca4Al(TeSe2)3_id1662_E-3.39.cif
AFTER,Ca4Al(TeSe2)3,-3.3859,0.311,Semiconductor,Im-3m,0.0000,0.000,Ca4Al(TeSe2)3_id1662_Final_E-3.39.cif
,,,,,,,,
BEFORE,Li3ScAs,-3.3811,0.254,Semiconductor,Pm-3m,,,Li3ScAs_id1624_E-3.38.cif
AFTER,Li3ScAs,-3.3811,0.254,Semiconductor,Pm-3m,0.0000,0.000,Li3ScAs_id1624_Final_E-3.38.cif
,,,,,,,,
BEFORE,Ge6Te3As3Se7,-3.1842,1.378,Semiconductor,P1,,,Ge6Te3As3Se7_id899_E-3.18.cif
AFTER,Ge6Te3As3Se7,-3.3768,1.269,Semiconductor,P1,-0.1926,-0.109,Ge6Te3As3Se7_id899_Final_E-3.38.cif
,,,,,,,,
BEFORE,Al9Ga2,-3.0407,2.439,Semiconductor,P1,,,Al9Ga2_id2773_E-3.04.cif
AFTER,Al9Ga2,-3.3654,3.26,Semiconductor,P1,-0.3247,0.821,Al9Ga2_id2773_Final_E-3.37.cif
,,,,,,,,
BEFORE,Ge(TeSe2)2,-2.9205,0.902,Semiconductor,P4/mmm,,,Ge(TeSe2)2_id1797_E-2.92.cif
AFTER,Ge(TeSe2)2,-3.3646,4.193,Insulator,Cm,-0.4441,3.291,Ge(TeSe2)2_id1797_Final_E-3.36.cif
,,,,,,,,
BEFORE,BaAs(Se4S3)2,-0.0576,2.689,Semiconductor,Cmc2_1,,,BaAs(Se4S3)2_id1932_E-0.06.cif
AFTER,BaAs(Se4S3)2,-3.3634,1.161,Semiconductor,Cmc2_1,-3.3058,-1.528,BaAs(Se4S3)2_id1932_Final_E-3.36.cif
,,,,,,,,
BEFORE,Sr4CaGe2O,-1.731,0.14,Semiconductor,I4_122,,,Sr4CaGe2O_id3346_E-1.73.cif
AFTER,Sr4CaGe2O,-3.3629,0.0,Metal,I4_122,-1.6319,-0.140,Sr4CaGe2O_id3346_Final_E-3.36.cif
,,,,,,,,
BEFORE,MgGaP,-3.3065,0.288,Semiconductor,P4/nmm,,,MgGaP_id693_E-3.31.cif
AFTER,MgGaP,-3.3512,0.257,Semiconductor,P2_1,-0.0447,-0.031,MgGaP_id693_Final_E-3.35.cif
,,,,,,,,
BEFORE,K2Na2AsS4,-0.966,0.175,Semiconductor,P-3m1,,,K2Na2AsS4_id468_E-0.97.cif
AFTER,K2Na2AsS4,-3.3369,2.721,Semiconductor,P1,-2.3709,2.546,K2Na2AsS4_id468_Final_E-3.34.cif
,,,,,,,,
BEFORE,KS,-2.3966,0.262,Semiconductor,P1,,,KS_id2375_E-2.40.cif
AFTER,KS,-3.3365,2.368,Semiconductor,P1,-0.9399,2.106,KS_id2375_Final_E-3.34.cif
,,,,,,,,
BEFORE,ZnTeAsSe,-2.6091,1.073,Semiconductor,P4_32_12,,,ZnTeAsSe_id2222_E-2.61.cif
AFTER,ZnTeAsSe,-3.3364,0.203,Semiconductor,P1,-0.7273,-0.870,ZnTeAsSe_id2222_Final_E-3.34.cif
,,,,,,,,
BEFORE,KCd(Te2Se)2,-2.3468,0.119,Semiconductor,P4bm,,,KCd(Te2Se)2_id1806_E-2.35.cif
AFTER,KCd(Te2Se)2,-3.335,0.571,Semiconductor,P1,-0.9882,0.452,KCd(Te2Se)2_id1806_Final_E-3.34.cif
,,,,,,,,
BEFORE,Ti3Zn3Sn3Te16,-2.6968,1.158,Semiconductor,P6_3/m,,,Ti3Zn3Sn3Te16_id3058_E-2.70.cif
AFTER,Ti3Zn3Sn3Te16,-3.3075,0.678,Semiconductor,P6_3/m,-0.6107,-0.480,Ti3Zn3Sn3Te16_id3058_Final_E-3.31.cif
,,,,,,,,
BEFORE,BaLi8TiTe4,-3.0457,0.781,Semiconductor,I222,,,BaLi8TiTe4_id2544_E-3.05.cif
AFTER,BaLi8TiTe4,-3.3064,1.149,Semiconductor,I222,-0.2607,0.368,BaLi8TiTe4_id2544_Final_E-3.31.cif
,,,,,,,,
BEFORE,ScZn6(SeS3)2,-2.4726,2.998,Semiconductor,P1,,,ScZn6(SeS3)2_id68_E-2.47.cif
AFTER,ScZn6(SeS3)2,-3.3024,1.334,Semiconductor,P1,-0.8298,-1.664,ScZn6(SeS3)2_id68_Final_E-3.30.cif
,,,,,,,,
BEFORE,Al(GaTe4)2,-3.1794,3.157,Semiconductor,P-42m,,,Al(GaTe4)2_id2485_E-3.18.cif
AFTER,Al(GaTe4)2,-3.2928,3.577,Insulator,Cm,-0.1134,0.420,Al(GaTe4)2_id2485_Final_E-3.29.cif
,,,,,,,,
BEFORE,K2MgZnSi4,-2.1962,0.761,Semiconductor,P3_121,,,K2MgZnSi4_id231_E-2.20.cif
AFTER,K2MgZnSi4,-3.2862,0.599,Semiconductor,P3_121,-1.0900,-0.162,K2MgZnSi4_id231_Final_E-3.29.cif
,,,,,,,,
BEFORE,MgSi,-3.2783,0.396,Semiconductor,I4_1/amd,,,MgSi_id1449_E-3.28.cif
AFTER,MgSi,-3.2783,0.396,Semiconductor,I4_1/amd,0.0000,0.000,MgSi_id1449_Final_E-3.28.cif
,,,,,,,,
BEFORE,KGaSeS2,-3.0356,1.867,Semiconductor,P6_522,,,KGaSeS2_id279_E-3.04.cif
AFTER,KGaSeS2,-3.274,1.133,Semiconductor,P1,-0.2384,-0.734,KGaSeS2_id279_Final_E-3.27.cif
,,,,,,,,
BEFORE,ZnSe2,-3.2218,0.338,Semiconductor,Pnnn,,,ZnSe2_id1555_E-3.22.cif
AFTER,ZnSe2,-3.2736,0.083,Semiconductor,Pnnn,-0.0518,-0.255,ZnSe2_id1555_Final_E-3.27.cif
,,,,,,,,
BEFORE,Zn2O,-2.7261,1.922,Semiconductor,Pbcn,,,Zn2O_id3239_E-2.73.cif
AFTER,Zn2O,-3.2717,0.333,Semiconductor,P2_1/c,-0.5456,-1.589,Zn2O_id3239_Final_E-3.27.cif
,,,,,,,,
BEFORE,KIn6Sn3Te4,-2.4395,0.546,Semiconductor,Im-3m,,,KIn6Sn3Te4_id2332_E-2.44.cif
AFTER,KIn6Sn3Te4,-3.2691,0.0,Metal,P1,-0.8296,-0.546,KIn6Sn3Te4_id2332_Final_E-3.27.cif
,,,,,,,,
BEFORE,Ti2O5,-2.8767,0.764,Semiconductor,P6mm,,,Ti2O5_id1633_E-2.88.cif
AFTER,Ti2O5,-3.2662,0.555,Semiconductor,Cm,-0.3895,-0.209,Ti2O5_id1633_Final_E-3.27.cif
,,,,,,,,
BEFORE,Na9Te4SeS4,-2.8258,1.723,Semiconductor,P4,,,Na9Te4SeS4_id536_E-2.83.cif
AFTER,Na9Te4SeS4,-3.2657,1.476,Semiconductor,I4,-0.4399,-0.247,Na9Te4SeS4_id536_Final_E-3.27.cif
,,,,,,,,
BEFORE,Li2C2N4O13,-2.1892,0.156,Semiconductor,Cc,,,Li2C2N4O13_id215_E-2.19.cif
AFTER,Li2C2N4O13,-3.2606,0.0,Metal,Cc,-1.0714,-0.156,Li2C2N4O13_id215_Final_E-3.26.cif
,,,,,,,,
BEFORE,NaIn3Te28,-3.2165,2.453,Semiconductor,I4/m,,,NaIn3Te28_id1019_E-3.22.cif
AFTER,NaIn3Te28,-3.2593,0.0,Metal,I4/m,-0.0428,-2.453,NaIn3Te28_id1019_Final_E-3.26.cif
,,,,,,,,
BEFORE,Li28BAsO8,-3.097,3.337,Semiconductor,Pm,,,Li28BAsO8_id2539_E-3.10.cif
AFTER,Li28BAsO8,-3.2528,3.227,Semiconductor,Pm,-0.1558,-0.110,Li28BAsO8_id2539_Final_E-3.25.cif
,,,,,,,,
BEFORE,Li4GeAs,-2.2515,0.744,Semiconductor,P42_12,,,Li4GeAs_id3189_E-2.25.cif
AFTER,Li4GeAs,-3.2521,0.766,Semiconductor,P1,-1.0006,0.022,Li4GeAs_id3189_Final_E-3.25.cif
,,,,,,,,
BEFORE,Ti3Zn5O2,-3.0821,0.148,Semiconductor,Pm,,,Ti3Zn5O2_id2831_E-3.08.cif
AFTER,Ti3Zn5O2,-3.2499,0.052,Semiconductor,P1,-0.1678,-0.096,Ti3Zn5O2_id2831_Final_E-3.25.cif
,,,,,,,,
BEFORE,Mg(GaGe)2,-3.2474,2.085,Semiconductor,P4_332,,,Mg(GaGe)2_id612_E-3.25.cif
AFTER,Mg(GaGe)2,-3.2484,2.137,Semiconductor,P4_332,-0.0010,0.052,Mg(GaGe)2_id612_Final_E-3.25.cif
,,,,,,,,
BEFORE,K2Li(TiBe)2,-1.9692,1.995,Semiconductor,P6/mmm,,,K2Li(TiBe)2_id2519_E-1.97.cif
AFTER,K2Li(TiBe)2,-3.2408,2.914,Semiconductor,P-1,-1.2716,0.919,K2Li(TiBe)2_id2519_Final_E-3.24.cif
,,,,,,,,
BEFORE,LiGa6(SiAs)2,-2.9504,0.181,Semiconductor,P4/mnc,,,LiGa6(SiAs)2_id1942_E-2.95.cif
AFTER,LiGa6(SiAs)2,-3.229,2.637,Semiconductor,P4/mnc,-0.2786,2.456,LiGa6(SiAs)2_id1942_Final_E-3.23.cif
,,,,,,,,
